林蕙青	高等学校专业设置与教学指导委员会	教育部					
谈哲敏	大气科学类专业教学指导委员会	南京大学					
王体健	大气科学类专业教学指导委员会	南京大学					
李巍然	海洋科学类专业教学指导委员会	中国海洋大学					
管长龙	海洋科学类专业教学指导委员会	中国海洋大学					
李斐	地球物理学类专业教学指导委员会	武汉大学					
张绍东	地球物理学类专业教学指导委员会	武汉大学					
赖旭龙	地质学类专业教学指导委员会	中国地质大学（武汉）					
章军锋	地质学类专业教学指导委员会	中国地质大学（武汉）					
赵进东	生物科学类专业教学指导委员会	北京大学					
王世强	生物科学类专业教学指导委员会	北京大学					
周晓林	心理学类专业教学指导委员会	北京大学					
苏彦捷	心理学类专业教学指导委员会	北京大学					
房祥忠	统计学类专业教学指导委员会	北京大学					
邓明华	统计学类专业教学指导委员会	北京大学					
方岱宁	力学类专业教学指导委员会	北京理工大学					
马少鹏	力学类专业教学指导委员会	北京理工大学					
赵继	机械类专业教学指导委员会	东北大学					
巩亚东	机械类专业教学指导委员会	东北大学					
曾周末	仪器类专业教学指导委员会	天津大学					
邾继贵	仪器类专业教学指导委员会	天津大学					
周玉	材料类专业教学指导委员会	哈尔滨工业大学					
耿林	材料类专业教学指导委员会	哈尔滨工业大学					
何雅玲	能源动力类专业教学指导委员会	西安交通大学					
王秋旺	能源动力类专业教学指导委员会	西安交通大学					
胡敏强	电气类专业教学指导委员会	南京师范大学					
吴在军	电气类专业教学指导委员会	东南大学					
郝跃	电子信息类专业教学指导委员会	西安电子科技大学					
邓成	电子信息类专业教学指导委员会	西安电子科技大学					
周杰	自动化类专业教学指导委员会	清华大学					
张佐	自动化类专业教学指导委员会	清华大学					
吴建平	计算机类专业教学指导委员会	清华大学					
武永卫	计算机类专业教学指导委员会	清华大学					
张尧学	软件工程专业教学指导委员会	中南大学					
陈志刚	软件工程专业教学指导委员会	中南大学					
赵泽良	网络空间安全专业教学指导委员会	中央网络安全和信息化领导小组办公室					
封化民	网络空间安全专业教学指导委员会	北京电子科技学院					
李国强	土木类专业教学指导委员会	同济大学					
赵宪忠	土木类专业教学指导委员会	同济大学					
徐辉	水利类专业教学指导委员会	河海大学					
董增川	水利类专业教学指导委员会	河海大学					
李建成	测绘类专业教学指导委员会	武汉大学					
姜昕	测绘类专业教学指导委员会	武汉大学					
张凤宝	化工类专业教学指导委员会	天津大学					
夏淑倩	化工类专业教学指导委员会	天津大学					
唐辉明	地质类专业教学指导委员会	中国地质大学（武汉）					
夏庆霖	地质类专业教学指导委员会	中国地质大学（武汉）					
赵跃民	矿业类专业教学指导委员会	中国矿业大学					
屠世浩	矿业类专业教学指导委员会	中国矿业大学					
郁崇文	纺织类专业教学指导委员会	东华大学					
郭建生	纺织类专业教学指导委员会	东华大学					
石碧	轻工类专业教学指导委员会	四川大学					
何有节	轻工类专业教学指导委员会	四川大学					
张星臣	交通运输类专业教学指导委员会	北京交通大学					
朱晓宁	交通运输类专业教学指导委员会	北京交通大学					
李华军	海洋工程类专业教学指导委员会	中国海洋大学					
王树青	海洋工程类专业教学指导委员会	中国海洋大学					
蔡国飙	航空航天类专业教学指导委员会	北京航空航天大学					
梁国柱	航空航天类专业教学指导委员会	北京航空航天大学					
王晓锋	兵器类专业教学指导委员会	北京理工大学					
林海	兵器类专业教学指导委员会	北京理工大学					
程建平	核工程类专业教学指导委员会	北京师范大学					
王学武	核工程类专业教学指导委员会	清华大学					
康绍忠	农业工程类专业教学指导委员会	中国农业大学					
韩鲁佳	农业工程类专业教学指导委员会	中国农业大学					
于志明	林业工程类专业教学指导委员会	北京林业大学					
蒋建新	林业工程类专业教学指导委员会	北京林业大学					
贺克斌	环境科学与工程类专业教学指导委员会	清华大学					
胡洪营	环境科学与工程类专业教学指导委员会	清华大学					
骆清铭	生物医学工程类专业教学指导委员会	海南大学					
付玲	生物医学工程类专业教学指导委员会	华中科技大学					
金征宇	食品科学与工程类专业教学指导委员会	江南大学					
夏文水	食品科学与工程类专业教学指导委员会	江南大学					
王建国	建筑类专业教学指导委员会	东南大学					
韩冬青	建筑类专业教学指导委员会	东南大学					
张瑞新	安全科学与工程类专业教学指导委员会	华北科技学院					
汪永高	安全科学与工程类专业教学指导委员会	华北科技学院					
邓子新	生物技术、生物工程类专业教学指导委员会	上海交通大学					
陈峰	生物技术、生物工程类专业教学指导委员会	上海交通大学					
郝宏奎	公安技术类专业教学指导委员会	中国刑事警察学院					
杨洪臣	公安技术类专业教学指导委员会	中国刑事警察学院					
孙其信	植物生产类专业教学指导委员会	中国农业大学					
张海林	植物生产类专业教学指导委员会	中国农业大学					
王玉杰	自然保护与环境生态类专业教学指导委员会	北京林业大学					
徐基良	自然保护与环境生态类专业教学指导委员会	北京林业大学					
陈焕春	动物生产类专业教学指导委员会	华中农业大学					
蒋思文	动物生产类专业教学指导委员会	华中农业大学					
沈建忠	动物医学类专业教学指导委员会	中国农业大学					
张国中	动物医学类专业教学指导委员会	中国农业大学					
骆有庆	林学类专业教学指导委员会	北京林业大学					
赵秀海	林学类专业教学指导委员会	北京林业大学					
李家乐	水产类专业教学指导委员会	上海海洋大学					
江敏	水产类专业教学指导委员会	上海海洋大学					
王锁民	草学类专业教学指导委员会	兰州大学					
刘志鹏	草学类专业教学指导委员会	兰州大学					
陈国强	基础医学类教学指导委员会	上海交通大学					
蒋益	基础医学类教学指导委员会	上海交通大学					
刘玉村	临床医学类专业教学指导委员会	北京大学					
李海潮	临床医学类专业教学指导委员会	北京大学					
叶 ?玲	口腔医学类专业教学指导委员会	四川大学					
张凌琳	口腔医学类专业教学指导委员会	四川大学					
李立明	公共卫生与预防医学类专业教学指导委员会	北京大学					
孟庆跃	公共卫生与预防医学类专业教学指导委员会	北京大学					
谷晓红	中医学类专业教学指导委员会	北京中医药大学					
翟双庆	中医学类专业教学指导委员会	北京中医药大学					
徐安龙	中西医结合类专业教学指导委员会	北京中医药大学					
王伟	中西医结合类专业教学指导委员会	北京中医药大学					
姚文兵	药学类专业教学指导委员会（含临床药学、制药工程等专业）	中国药科大学					
樊陈琳	药学类专业教学指导委员会（含临床药学、制药工程等专业）	中国药科大学					
匡海学	中药学类专业教学指导委员会	黑龙江中医药大学					
李永吉	中药学类专业教学指导委员会	黑龙江中医药大学					
张 ?林	法医学类专业教学指导委员会	四川大学					
梁伟波	法医学类专业教学指导委员会	四川大学					
尚 ?红	医学技术类专业教学指导委员会	中国医科大学					
郭晓临	医学技术类专业教学指导委员会	中国医科大学					
尚少梅	护理学类专业教学指导委员会	北京大学					
孙宏玉	护理学类专业教学指导委员会	北京大学					
陈国青	管理科学与工程类专业教学指导委员会	清华大学					
陈剑	管理科学与工程类专业教学指导委员会	清华大学					
席酉民	工商管理类专业教学指导委员会	西安交通大学					
葛京	工商管理类专业教学指导委员会	西安交通大学					
唐忠	农业经济管理类专业教学指导委员会	中国人民大学					
朱信凯	农业经济管理类专业教学指导委员会	中国人民大学					
邹晓东	公共管理类专业教学指导委员会	浙江大学					
郁建兴	公共管理类专业教学指导委员会	浙江大学					
王余光	图书馆学专业教学指导委员会	北京大学					
张久珍	图书馆学专业教学指导委员会	北京大学					
张斌	档案学专业教学指导委员会	中国人民大学					
徐拥军	档案学专业教学指导委员会	中国人民大学					
黄有方	物流管理与工程类专业教学指导委员会	上海海事大学					
郭肇明	物流管理与工程类专业教学指导委员会	中国物流与采购联合会					
郑力	工业工程类专业教学指导委员会	清华大学					
王凯波	工业工程类专业教学指导委员会	清华大学					
刘军	电子商务类专业教学指导委员会	北京交通大学					
张润彤	电子商务类专业教学指导委员会	北京交通大学					
田卫民	旅游管理类专业教学指导委员会	云南大学					
赵书虹	旅游管理类专业教学指导委员会	云南大学					
王一川	艺术学理论类专业教学指导委员会	北京大学					
彭锋	艺术学理论类专业教学指导委员会	北京大学					
王黎光	音乐与舞蹈学类专业教学指导委员会	中国音乐学院					
黄虎	音乐与舞蹈学类专业教学指导委员会	中国音乐学院					
周星	戏剧与影视学类专业教学指导委员会	北京师范大学					
张燕	戏剧与影视学类专业教学指导委员会	北京师范大学					
许江	美术学类专业教学指导委员会	中国美术学院					
余旭鸿	美术学类专业教学指导委员会	中国美术学院					
鲁晓波	设计学类专业教学指导委员会	清华大学					
赵超	设计学类专业教学指导委员会	清华大学					
廖祥忠	动画、数字媒体专业教学指导委员会	中国传媒大学					
黄心渊	动画、数字媒体专业教学指导委员会	中国传媒大学					
何莲珍	大学外语教学指导委员会	浙江大学					
梁君英	大学外语教学指导委员会	浙江大学					
徐宗本	大学数学课程教学指导委员会	西安交通大学					
李继成	大学数学课程教学指导委员会	西安交通大学					
王青	大学物理课程教学指导委员会	清华大学					
魏斌	大学物理课程教学指导委员会	清华大学					
高松	大学化学课程教学指导委员会	华南理工大学					
裴坚	大学化学课程教学指导委员会	北京大学					
朱玉贤	大学生物学课程教学指导委员会	武汉大学					
陈向东	大学生物学课程教学指导委员会	武汉大学					
郑庆华	大学计算机课程教学指导委员会	西安交通大学					
桂小林	大学计算机课程教学指导委员会	西安交通大学					
袁驷	工科基础课程教学指导委员会	清华大学					
于歆杰	工科基础课程教学指导委员会	清华大学					
翟海魂	医学人文素养与全科医学教学指导委员会	河北医科大学					
傅英会	医学人文素养与全科医学教学指导委员会	河北医科大学					
易红	实验室建设与实验教学指导委员会	中南大学					
熊宏齐	实验室建设与实验教学指导委员会	东南大学					
郭东明	工程训练教学指导委员会	大连理工大学					
王永青	工程训练教学指导委员会	大连理工大学					
钟志华	创新创业教育指导委员会	同济大学					
周斌	创新创业教育指导委员会	同济大学					
邵新宇	文化素质教育指导委员会	华中科技大学					
余东升	文化素质教育指导委员会	华中科技大学					
杨宗凯	教学信息化与教学方法创新指导委员会	西安电子科技大学					
杨九民	教学信息化与教学方法创新指导委员会	华中师范大学					
陈建龙	图书情报工作指导委员会	北京大学					
陈凌	图书情报工作指导委员会	北京大学					
陈旭	中西部高等教育振兴计划升级版工作指导委员会	清华大学					
丛振涛	中西部高等教育振兴计划升级版工作指导委员会	清华大学					
